Species	ERAS6_Dag42	ERAS7_Dag8	ERAS11_Dag180	ERAS3_Dag180	ERAS9_Dag42	ERAS9_Dag4	ERAS7_Dag4opt	ERAS2_Dag0	ERAS2_Dag42	ERAS2_Dag180	ERAS4_Dag0	ERAS3_Dag4	ERAS9_Dag8	ERAS7_Dag0	ERAS11_Dag8	ERAS11_Dag4opt	ERAS4_Dag180	ERAS5_Dag4	ERAS3_Dag0	ERAS9_Dag0	ERAS11_Dag42	ERAS5_Dag180	ERAS5_Dag0	ERAS5_Dag42	ERAS6_Dag8opt	ERAS2_Dag8	ERAS4_Dag4opt	ERAS6_Dag4opt	ERAS6_Dag180	ERAS7_Dag42	ERAS2_Dag4opt	ERAS4_Dag42	ERAS3_Dag42	ERAS7_Dag180	ERAS11_Dag0	ERAS4_Dag8opt	ERAS5_Dag8	ERAS6_Dag0	ERAS3_Dag8	ERAS9_Dag180	ERAS8_Dag180	ERAS10_Dag0	ERAS12_Dag180	ERAS12_Dag2	ERAS8_Dag8	ERAS12_Dag4opt	ERAS8_Dag0	ERAS12_Dag42	ERAS1_Dag8	ERAS12_Dag0	ERAS1_Dag42	ERAS10_Dag180	ERAS10_Dag8	ERAS1_Dag0	ERAS8_Dag42	ERAS1_Dag180	ERAS10_Dag42	ERAS12_Dag8	ERAS12_Dag1opt
Acidaminococcus intestini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.84625178620071e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00353783305251022	0	0	0	0
Actinomyces odontolyticus	0	0	0	7.96862388588973e-05	7.79933273669737e-05	0	0.000156917282826568	6.62229178740804e-05	7.51084626861025e-05	0	6.94070372039873e-05	0.000206677519724428	0	0	0	4.23592822542359e-05	0	0	6.87414229017498e-05	0	0	0	0	4.65919891326774e-05	0	0	0	0	0	6.45274414089076e-05	0	0	0	0	6.36939090175957e-05	0.000580063361461762	0	0	0	5.70081894855477e-05	7.50190612281959e-05	0	6.38148122510613e-05	0	6.35034896291618e-05	0.000115535604703581	0	7.56351825343115e-05	6.89144458342025e-05	0	0	6.22853117205039e-05	0	0	0.000113574094783635	0	0.000201689175658883	0.000106820371884701	0
Actinomyces sp. oral taxon 170	0	0	0	0	0	0	4.90366508833026e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54280527551253e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces sp. oral taxon 848	7.02492404022115e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1514661002135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces viscosus	0	0	0	0	0	0	5.88439810599631e-05	0	0	0	0	0.000124006511834657	0	0	0	0	0	7.54280527551253e-05	0	0	0	0	0	0	0	0	3.33350790999746e-05	0	0	0	7.55865539079253e-05	0	0	0	0	7.1514661002135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.86173396893597e-05	0	0	0	0	0
Aggregatibacter aphrophilus	0	0	0	0	0	0	0	6.62229178740804e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127629624502123	8.56000525235993e-05	0	0	0	7.56351825343115e-05	0	8.57219079173566e-05	0	0	0.00012570067583703	0	0	0	0	0	0
Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0.000206677519724428	0	0	0.000117018441137502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43964438817204e-05	0	6.38148122510613e-05	0	0	0	0	0	0	6.12299342266833e-05	0	0	0	0	0	0	0	0	0
Akkermansia muciniphila	0	0	0	0.0167938748395126	0	0	0	0	0	0	0	0	0	0	0	0	0	7.54280527551253e-05	0	0	0	0	0.00330075248641536	4.65919891326774e-05	0	0	0	0	0.00436041063451351	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111675921439357	0	0	0.000115535604703581	0	0.00017963355851899	0.00100308804492006	6.12299342266833e-05	0.0185557893246719	3.1142655860252e-05	0	0.000343086698446798	0	0.00185553756275796	0	0.301863688908976	0.000117417059291807
Alistipes putredinis	0.000140498480804423	0.000113847196639844	0.0123794495763435	0.000169702175347652	0.0548995031336128	0.0020470227578339	5.14884834274677e-05	0.0150524692327785	0	0	0.0100362575796966	0.000212582591716555	0.0007115422729894	0.0232415195848734	8.77638308531263e-05	0.000597265879784727	0.000189067765504496	0.000160284612104641	0.0104555704233561	0.0470505332909604	0.0181164280247787	0.0208474432237889	0.00455818200504978	0.0357220780680238	4.88849564519423e-05	0	0.00108339007074917	7.96823936443874e-05	0.0407020515362824	0.0151585714443092	0	7.16867673698686e-05	0.000165331730102924	0.000352675737304033	0.0127133042399121	0	7.95202751255367e-05	0.00525835301773518	7.18689699299672e-05	0.0408007612148065	0.0248575659379627	0.0276789087087428	0.0213907250665557	0.000265360162823158	3.96896810182261e-05	0	0.000573524940739746	0.0344518256443789	0	0.00322681753374621	0.000454784467344669	3.1142655860252e-05	0.00016760090111604	0.000137234679378719	0.0194325276174799	0.000228524099834401	6.05067526976648e-05	0.000133525464855876	0.00909277707155751
